弹幕姬版本: 0.3.1
直播来源地址: https://cc.163.com/361433/
开始记录时间: 2021-11-25 20:27:52.628
视频地址: https://www.bilibili.com/video/BV1VY411s7K4
CID: [449128470, 449126018, 449124756, 449122827, 449121009]
时轴修正: [[3601, 866], [3611, 10], [3611, 10], [3611, 10], [3860, 10]]

==================================================
2021-11-25 20:27:56.640 - 00:00:04 - 遮遮不弄
2021-11-25 20:27:56.823 - 00:00:04 - 打假赛是吧
2021-11-25 20:28:01.822 - 00:00:09 - 不缩圈吗
2021-11-25 20:28:02.315 - 00:00:09 - 草
2021-11-25 20:28:04.075 - 00:00:11 - 开始心疼好女人了，可以预见到今天晚上的录播，得剪好久
2021-11-25 20:28:09.379 - 00:00:16 - 笑了
2021-11-25 20:28:09.911 - 00:00:17 - 和平
2021-11-25 20:28:13.728 - 00:00:21 - 今晚不会都是铲车吧，我怕
2021-11-25 20:28:13.957 - 00:00:21 - ？
2021-11-25 20:28:18.314 - 00:00:25 - 屁股不错
2021-11-25 20:28:18.716 - 00:00:26 - ？
2021-11-25 20:28:19.357 - 00:00:26 - ？
2021-11-25 20:28:19.587 - 00:00:26 - ？
2021-11-25 20:28:19.984 - 00:00:27 - 这就是永劫无间吗
2021-11-25 20:28:20.973 - 00:00:28 - pg不错
2021-11-25 20:28:22.635 - 00:00:30 - 接吻了
2021-11-25 20:28:23.073 - 00:00:30 - 狗喜欢屁股
2021-11-25 20:28:23.121 - 00:00:30 - 屁股不错
2021-11-25 20:28:24.445 - 00:00:31 - ？
2021-11-25 20:28:27.561 - 00:00:34 - 都无法分离
2021-11-25 20:28:28.873 - 00:00:36 - 从侧面入
2021-11-25 20:28:29.256 - 00:00:36 - 都难以分离……
2021-11-25 20:28:31.196 - 00:00:38 - 接吻了
2021-11-25 20:28:32.339 - 00:00:39 - 如果能缩圈就好了，缩到中间，很激烈
2021-11-25 20:28:32.548 - 00:00:39 - 尸体在说话
2021-11-25 20:28:37.263 - 00:00:44 - 又要被剪成南通素材了
2021-11-25 20:28:38.333 - 00:00:45 - 确实
2021-11-25 20:28:39.912 - 00:00:47 - 都无法分离
2021-11-25 20:28:40.611 - 00:00:47 - 开始竞速了
2021-11-25 20:28:40.949 - 00:00:48 - 草
2021-11-25 20:28:40.976 - 00:00:48 - 都。。。无法分离
2021-11-25 20:28:41.313 - 00:00:48 - 至少现在每个人说话都会显示在右边，没有那么辛苦
2021-11-25 20:28:41.635 - 00:00:49 - dejavu
2021-11-25 20:28:44.119 - 00:00:51 - 吸尾流啊
2021-11-25 20:28:45.804 - 00:00:53 - 无法分离
2021-11-25 20:28:48.943 - 00:00:56 - 地平线是吧
2021-11-25 20:28:49.182 - 00:00:56 - 好漫长的决斗
2021-11-25 20:28:50.050 - 00:00:57 - 剩四个人时外圈应该炸掉
