弹幕姬版本: 0.3.1
直播来源地址: https://cc.163.com/361433/
开始记录时间: 2021-11-29 19:14:22.607
视频地址: https://www.bilibili.com/video/BV1MU4y1M7UV
CID: [451727385, 451726005, 451724549, 451722627, 451720760]
时轴修正: [[3001, -1906], [3011, 10], [3011, 0], [3611, 0], [3028, 10]]

==================================================
2021-11-29 19:14:26.809 - 00:00:04 - 叔叔的动态被删了吗
2021-11-29 19:14:29.534 - 00:00:06 - 来了来了
2021-11-29 19:14:29.662 - 00:00:07 - 这游戏昨天不是说到头了吗
2021-11-29 19:14:30.228 - 00:00:07 - 是缺
2021-11-29 19:14:30.321 - 00:00:07 - 嗯？黑楼不是到头了吗？
2021-11-29 19:14:30.992 - 00:00:08 - 偷偷播？
2021-11-29 19:14:46.535 - 00:00:23 - 怎么不预告？
2021-11-29 19:14:47.972 - 00:00:25 - 电音狗
2021-11-29 19:14:49.862 - 00:00:27 - 致远星必秒无限，笑了
2021-11-29 19:14:50.265 - 00:00:27 - 播啦
2021-11-29 19:14:58.288 - 00:00:35 - 我是韦天，我是韦天
2021-11-29 19:14:58.602 - 00:00:35 - 没问题啊
2021-11-29 19:14:59.150 - 00:00:36 - 我似韦天我似韦天
2021-11-29 19:15:08.960 - 00:00:46 - 哇，黑楼
2021-11-29 19:15:10.897 - 00:00:48 - 奎恩哥，我要抽
2021-11-29 19:15:33.744 - 00:01:11 - 开播先疯了一个
2021-11-29 19:15:36.830 - 00:01:14 - 叔叔饶命
2021-11-29 19:15:37.464 - 00:01:14 - 致远星呢
2021-11-29 19:15:38.304 - 00:01:15 - 叔叔饶命
2021-11-29 19:15:38.576 - 00:01:15 - 叔叔你罪大恶极
2021-11-29 19:15:39.485 - 00:01:16 - 确实，我看微博来的
2021-11-29 19:15:42.224 - 00:01:19 - tmd
2021-11-29 19:15:42.420 - 00:01:19 - 叔叔biss
2021-11-29 19:15:42.854 - 00:01:20 - 笑惹
2021-11-29 19:15:44.141 - 00:01:21 - 超人，你们什么时候上啊
2021-11-29 19:15:45.742 - 00:01:23 - 肯尼也摸了
2021-11-29 19:15:46.079 - 00:01:23 - 鼠鼠饶命
2021-11-29 19:15:46.652 - 00:01:24 - 叔叔：不准播
2021-11-29 19:15:49.986 - 00:01:27 - 笑了
2021-11-29 19:15:50.849 - 00:01:28 - 确实
2021-11-29 19:15:51.226 - 00:01:28 - 蜀黍夹得超紧的
2021-11-29 19:15:52.933 - 00:01:30 - 叔叔饶命
2021-11-29 19:15:53.574 - 00:01:30 - 叔叔我阿 真的是叔叔我阿了
2021-11-29 19:15:54.881 - 00:01:32 - 看看
2021-11-29 19:15:55.208 - 00:01:32 - 什么人偶
2021-11-29 19:15:56.891 - 00:01:34 - 叔叔饶命
2021-11-29 19:15:59.058 - 00:01:36 - 堕落玩偶吗
2021-11-29 19:16:00.861 - 00:01:38 - 堕落玩偶是吧
2021-11-29 19:16:00.932 - 00:01:38 - 又去找机皇看色啊
2021-11-29 19:16:01.212 - 00:01:38 - 蜀黍饶命啊
2021-11-29 19:16:03.115 - 00:01:40 - 品鉴堕落什么去了
2021-11-29 19:16:03.257 - 00:01:40 - 叔叔真紧啊
2021-11-29 19:16:04.649 - 00:01:42 - 陈睿 柠檬什么时候酸啊
2021-11-29 19:16:09.629 - 00:01:47 - 堕落玩偶还行
2021-11-29 19:16:13.210 - 00:01:50 - 爱手艺行动
2021-11-29 19:16:14.251 - 00:01:51 - 草，今天的狗怎么那么3D
2021-11-29 19:16:18.759 - 00:01:56 - 堕落玩偶算了吧，逗傻子玩的游戏
2021-11-29 19:16:20.835 - 00:01:58 - 蜀黍很堇
2021-11-29 19:16:21.964 - 00:01:59 - 拨了？
2021-11-29 19:16:24.202 - 00:02:01 - 叔叔强而有力的大腿
2021-11-29 19:16:24.288 - 00:02:01 - bb人不配看直播！
2021-11-29 19:16:30.629 - 00:02:08 - ？
2021-11-29 19:16:43.861 - 00:02:21 - 韦天呢
2021-11-29 19:16:46.765 - 00:02:24 - 老人受苦是吧
2021-11-29 19:16:49.692 - 00:02:27 - 被叔叔针对了
2021-11-29 19:16:50.048 - 00:02:27 - 老樱
2021-11-29 19:16:50.229 - 00:02:27 - 80是吧
2021-11-29 19:16:52.613 - 00:02:30 - wochao
2021-11-29 19:16:52.974 - 00:02:30 - 黄老人一打6！
2021-11-29 19:16:58.562 - 00:02:35 - 慈善直播？
2021-11-29 19:17:04.476 - 00:02:41 - 播了
2021-11-29 19:17:12.424 - 00:02:49 - 今天主播又要欠我6块钱力
2021-11-29 19:17:17.530 - 00:02:54 - 播了
2021-11-29 19:17:17.580 - 00:02:54 - 啊？今晚是嘿樓？
2021-11-29 19:17:18.949 - 00:02:56 - 还是pro的狙神
2021-11-29 19:17:19.589 - 00:02:56 - 狙神是谁
2021-11-29 19:17:23.673 - 00:03:01 - 黑楼好
2021-11-29 19:17:27.120 - 00:03:04 - 狙神 战神！
2021-11-29 19:17:28.234 - 00:03:05 - 谁在吃东西。
2021-11-29 19:17:28.953 - 00:03:06 - 三三老师好
2021-11-29 19:17:30.732 - 00:03:08 - 三三老师好啊
2021-11-29 19:17:33.080 - 00:03:10 - 狙神？是立伟么
2021-11-29 19:17:36.122 - 00:03:13 - 狙神、狙队友的神
2021-11-29 19:17:37.056 - 00:03:14 - 好骂
2021-11-29 19:17:37.487 - 00:03:14 - 准备上分是吧
2021-11-29 19:17:38.269 - 00:03:15 - ？
2021-11-29 19:17:39.269 - 00:03:16 - 好骂
2021-11-29 19:17:39.452 - 00:03:16 - 缺哥居然播了，感动
2021-11-29 19:17:39.965 - 00:03:17 - 黑楼教父发下指示
2021-11-29 19:17:40.878 - 00:03:18 - 撒比343
2021-11-29 19:17:41.095 - 00:03:18 - 垃圾游戏，沙比343，真的沙比
2021-11-29 19:17:41.263 - 00:03:18 - 好骂
2021-11-29 19:17:43.342 - 00:03:20 - 撒比343
2021-11-29 19:17:43.547 - 00:03:20 - 沙比343
2021-11-29 19:17:43.800 - 00:03:21 - 直球辱骂 前几天还我和黑楼20年
2021-11-29 19:17:50.505 - 00:03:27 - 进来就听到辱骂343
2021-11-29 19:17:52.896 - 00:03:30 - 一开播就称呼343为立伟！
2021-11-29 19:17:57.540 - 00:03:34 - mcc 迷彩车
2021-11-29 19:18:00.081 - 00:03:37 - 哦
2021-11-29 19:18:00.586 - 00:03:37 - 好骂
2021-11-29 19:18:01.029 - 00:03:38 - 金二手柄！
2021-11-29 19:18:01.074 - 00:03:38 - 没用北通？
2021-11-29 19:18:02.154 - 00:03:39 - 即使关了跨平台，因为主机能键鼠所以还是没用
2021-11-29 19:18:02.610 - 00:03:40 - 又用堇英手柄了？
2021-11-29 19:18:03.873 - 00:03:41 - 是时候唤醒缺神了
2021-11-29 19:18:12.175 - 00:03:49 - 怕是要丢人哦
2021-11-29 19:18:12.457 - 00:03:49 - 肥狗
2021-11-29 19:18:12.498 - 00:03:49 - 精英手柄的含金量
2021-11-29 19:18:12.808 - 00:03:50 - 致遠星再叫我吧——
2021-11-29 19:18:14.929 - 00:03:52 - 真的回来了吗
2021-11-29 19:18:17.509 - 00:03:54 - 回来了 都回来了
