弹幕姬版本: 0.3.3
直播来源地址: https://cc.163.com/361433/
开始记录时间: 2021-12-25 20:23:16.991
视频地址: https://www.bilibili.com/video/BV16Y411H7d7
CID: [468729819, 468728689, 468726635, 468725438, 468723769]
时轴修正: [[3601, 10], [3611, 10], [3611, 10], [2711, 10], [2702, 10]]

==================================================
2021-12-25 20:23:20.369 - 00:00:03 - 尼！
2021-12-25 20:23:20.369 - 00:00:03 - 好！！！
2021-12-25 20:23:20.834 - 00:00:03 - 挖
2021-12-25 20:23:20.835 - 00:00:03 - 逆了
2021-12-25 20:23:21.351 - 00:00:04 - wei
2021-12-25 20:23:21.361 - 00:00:04 - 惊了
2021-12-25 20:23:22.369 - 00:00:05 - 还以为你不播，草
2021-12-25 20:23:22.370 - 00:00:05 - 好耶
2021-12-25 20:23:22.370 - 00:00:05 - 我超，逆！
2021-12-25 20:23:22.864 - 00:00:05 - 好！
2021-12-25 20:23:22.865 - 00:00:05 - 嗷！！！
2021-12-25 20:23:24.366 - 00:00:07 - wei
2021-12-25 20:23:24.916 - 00:00:07 - 我超！缺！
2021-12-25 20:23:24.917 - 00:00:07 - 韦
2021-12-25 20:23:25.379 - 00:00:08 - 在的
2021-12-25 20:23:25.894 - 00:00:08 - 逆！
2021-12-25 20:23:25.894 - 00:00:08 - 我超，逆！
2021-12-25 20:23:25.895 - 00:00:08 - 我超！狗！
2021-12-25 20:23:26.398 - 00:00:09 - 来
2021-12-25 20:23:26.400 - 00:00:09 - wei？
2021-12-25 20:23:26.401 - 00:00:09 - 我在我在
2021-12-25 20:23:26.908 - 00:00:09 - 我超，逆
2021-12-25 20:23:26.909 - 00:00:09 - 我超命
2021-12-25 20:23:26.910 - 00:00:09 - zaima
2021-12-25 20:23:26.910 - 00:00:09 - 惊了
2021-12-25 20:23:27.414 - 00:00:10 - 我逆来了
2021-12-25 20:23:27.927 - 00:00:10 - 圣诞老人送这里嘛
2021-12-25 20:23:28.974 - 00:00:11 - 是宋逆！
2021-12-25 20:23:28.975 - 00:00:11 - 回来了 都回来了
2021-12-25 20:23:28.975 - 00:00:11 - 好逆！
2021-12-25 20:23:29.472 - 00:00:12 - 我超  天
2021-12-25 20:23:29.950 - 00:00:12 - 在吗在吗在吗在吗在吗
2021-12-25 20:23:29.951 - 00:00:12 - 㪍了，烤火时间到，今晚鸡㪍间抽周边了！
2021-12-25 20:23:29.956 - 00:00:12 - 好！
2021-12-25 20:23:29.957 - 00:00:12 - wei
2021-12-25 20:23:30.470 - 00:00:13 - 草 土命2
2021-12-25 20:23:30.470 - 00:00:13 - 韦
2021-12-25 20:23:30.977 - 00:00:13 - 你来啦
2021-12-25 20:23:30.977 - 00:00:13 - 我超，逆
2021-12-25 20:23:31.481 - 00:00:14 - 烧烤好香啊！
2021-12-25 20:23:31.969 - 00:00:14 - 我在我在
2021-12-25 20:23:32.996 - 00:00:16 - 我超 逆！
2021-12-25 20:23:32.997 - 00:00:16 - 该送礼了
2021-12-25 20:23:33.506 - 00:00:16 - 逆！
2021-12-25 20:23:33.507 - 00:00:16 - 我超
2021-12-25 20:23:34.011 - 00:00:17 - 我在！
2021-12-25 20:23:34.529 - 00:00:17 - 逆
2021-12-25 20:23:34.530 - 00:00:17 - 狗！
2021-12-25 20:23:35.044 - 00:00:18 - 好敬业的狗啊
2021-12-25 20:23:35.537 - 00:00:18 - 喂
2021-12-25 20:23:35.539 - 00:00:18 - 好好好
2021-12-25 20:23:35.539 - 00:00:18 - 逆！
2021-12-25 20:23:36.547 - 00:00:19 - 来啦
2021-12-25 20:23:37.053 - 00:00:20 - 来！
2021-12-25 20:23:37.557 - 00:00:20 - 好！是逆！
2021-12-25 20:23:38.090 - 00:00:21 - 缺哥，我的超人
2021-12-25 20:23:38.091 - 00:00:21 - wei
2021-12-25 20:23:38.575 - 00:00:21 - 圣诞节烤火，合理
2021-12-25 20:23:39.098 - 00:00:22 - 没圣诞狗皮肤吗
2021-12-25 20:23:39.099 - 00:00:22 - 好！
2021-12-25 20:23:39.581 - 00:00:22 - 逆！
2021-12-25 20:23:39.582 - 00:00:22 - 狗狗你来啦
2021-12-25 20:23:40.588 - 00:00:23 - 怎么抽奖啊
2021-12-25 20:23:40.589 - 00:00:23 - 笑了
2021-12-25 20:23:40.589 - 00:00:23 - ？
