弹幕姬版本: 0.3.4
直播来源地址: https://cc.163.com/361433/
开始记录时间: 2022-01-12 20:05:54.441
视频地址: https://www.bilibili.com/video/BV1wL41157Nf
CID: [483141706, 483139120, 483136845, 483134952, 483133744]
时轴修正: [[3001, null], [3011, 10], [3011, 10], [3011, 10], [3192, 10]]

==================================================
2022-01-12 20:06:01.584 - 00:00:07 - 来
2022-01-12 20:06:06.152 - 00:00:11 - Quin33 正在玩 永劫无间
2022-01-12 20:06:07.168 - 00:00:12 - 进入小秦
2022-01-12 20:06:07.168 - 00:00:12 - 喂喂喂
2022-01-12 20:06:07.640 - 00:00:13 - 狗狗你来啦
2022-01-12 20:06:07.640 - 00:00:13 - 狗来
2022-01-12 20:06:09.121 - 00:00:14 - 该开箱了
2022-01-12 20:06:12.697 - 00:00:18 - 来啦
2022-01-12 20:06:13.719 - 00:00:19 - 该去舞厅了
2022-01-12 20:06:13.721 - 00:00:19 - wei
2022-01-12 20:06:14.205 - 00:00:19 - 草
2022-01-12 20:06:14.205 - 00:00:19 - 喂喂喂
2022-01-12 20:06:14.704 - 00:00:20 - zaima
2022-01-12 20:06:15.711 - 00:00:21 - 梦开始的地方
2022-01-12 20:06:16.249 - 00:00:21 - 喂 在吗
2022-01-12 20:06:16.758 - 00:00:22 - 波拉
2022-01-12 20:06:17.776 - 00:00:23 - 该21点了
2022-01-12 20:06:18.763 - 00:00:24 - 来啦
2022-01-12 20:06:19.310 - 00:00:24 - 该开箱了
2022-01-12 20:06:19.779 - 00:00:25 - 勃了
2022-01-12 20:06:19.780 - 00:00:25 - 该赌了
2022-01-12 20:06:20.289 - 00:00:25 - 我要22号机
2022-01-12 20:06:20.291 - 00:00:25 - 网管，我要玩大逆转
2022-01-12 20:06:20.791 - 00:00:26 - 网瘾犯了
2022-01-12 20:06:21.352 - 00:00:26 - 偷看弹幕是吧？
2022-01-12 20:06:21.353 - 00:00:26 - 关门了
2022-01-12 20:06:21.354 - 00:00:26 - shuaxin
2022-01-12 20:06:22.347 - 00:00:27 - 喂
2022-01-12 20:06:22.827 - 00:00:28 - 来了！
2022-01-12 20:06:24.374 - 00:00:29 - 老板，来个通宵
2022-01-12 20:06:24.375 - 00:00:29 - 该21点了
2022-01-12 20:06:24.956 - 00:00:30 - 女仆，我要来根烤肠
2022-01-12 20:06:25.361 - 00:00:30 - 我超，狗！
2022-01-12 20:06:26.403 - 00:00:31 - 狗来
2022-01-12 20:06:26.895 - 00:00:32 - 我怎么感觉狗皮变肥了
2022-01-12 20:06:27.390 - 00:00:32 - 该去21点了
2022-01-12 20:06:27.908 - 00:00:33 - 21dian
2022-01-12 20:06:28.412 - 00:00:33 - 我超，毒狗！
2022-01-12 20:06:28.413 - 00:00:33 - 来啦
2022-01-12 20:06:30.460 - 00:00:36 - 网管拉闸
2022-01-12 20:06:30.460 - 00:00:36 - 我宋逆呢
2022-01-12 20:06:32.470 - 00:00:38 - 该21点了
2022-01-12 20:06:32.471 - 00:00:38 - 好耶
2022-01-12 20:06:32.960 - 00:00:38 - 来了！
2022-01-12 20:06:34.484 - 00:00:40 - 21点来！
2022-01-12 20:06:35.499 - 00:00:41 - 来力
2022-01-12 20:06:36.014 - 00:00:41 - 印度狗
2022-01-12 20:06:37.021 - 00:00:42 - 拉地上
2022-01-12 20:06:37.532 - 00:00:43 - 网管开门
2022-01-12 20:06:38.560 - 00:00:44 - 网管一桶方便面一瓶冰红茶

