弹幕姬版本: 0.3.6
直播来源地址: https://cc.163.com/361433/
开始记录时间: 2022-01-25 19:59:32.379
视频地址: https://www.bilibili.com/video/BV18S4y1L74m
CID: [492832291, 493028267, 493010494, 492992404, 492983619]
时轴修正: [[3601, 70], [3611, 10], [3611, 10], [3611, 10], [2956, 10]]

==================================================
2022-01-25 19:59:37.100 - 00:00:04 - weiwei
2022-01-25 19:59:48.281 - 00:00:15 - 加载中
2022-01-25 19:59:49.256 - 00:00:16 - wei
2022-01-25 19:59:51.785 - 00:00:19 - wei
2022-01-25 19:59:52.284 - 00:00:19 - 无人救市
2022-01-25 19:59:54.342 - 00:00:21 - wei？？
2022-01-25 19:59:54.343 - 00:00:21 - 已经是叔叔的形状了
2022-01-25 19:59:55.811 - 00:00:23 - 㪍了，鼠鼠来救世了
2022-01-25 20:00:04.920 - 00:00:32 - 叔叔来了
2022-01-25 20:00:11.482 - 00:00:39 - wei
2022-01-25 20:00:14.028 - 00:00:41 - wei
2022-01-25 20:00:14.524 - 00:00:42 - 救世啊
2022-01-25 20:00:17.088 - 00:00:44 - 韦在吗
2022-01-25 20:00:22.630 - 00:00:50 - 有人在这个频道吗
2022-01-25 20:00:26.201 - 00:00:53 - 救世啊
2022-01-25 20:00:30.741 - 00:00:58 - 属鼠我啊
2022-01-25 20:00:31.235 - 00:00:58 - 我在我在
2022-01-25 20:00:32.762 - 00:01:00 - 94啊
2022-01-25 20:00:35.768 - 00:01:03 - 狗狗你来啦
2022-01-25 20:00:41.397 - 00:01:09 - 叔叔饶命
2022-01-25 20:00:42.874 - 00:01:10 - wei
2022-01-25 20:00:42.875 - 00:01:10 - 狗狗！爱您！
2022-01-25 20:00:43.368 - 00:01:10 - ？
2022-01-25 20:00:44.379 - 00:01:12 - ?
2022-01-25 20:00:44.381 - 00:01:12 - 是狗
2022-01-25 20:00:44.382 - 00:01:12 - 沙奈朵呢
2022-01-25 20:00:45.890 - 00:01:13 - 鼠鼠
2022-01-25 20:00:46.377 - 00:01:13 - zaima
2022-01-25 20:00:47.899 - 00:01:15 - 好！
2022-01-25 20:00:47.904 - 00:01:15 - ？
2022-01-25 20:00:49.940 - 00:01:17 - 好呀
2022-01-25 20:00:50.942 - 00:01:18 - 你还知道来啊
2022-01-25 20:00:55.471 - 00:01:23 - 救世啊
2022-01-25 20:00:57.003 - 00:01:24 - 恋恋？
2022-01-25 20:00:57.490 - 00:01:25 - 救世啊！
2022-01-25 20:00:58.009 - 00:01:25 - 现在这么敬业，后面几天还阿尔宙斯吗
2022-01-25 20:00:59.028 - 00:01:26 - 还鼠鼠呢？不让过审拉！
2022-01-25 20:01:00.028 - 00:01:27 - 小秦~~
2022-01-25 20:01:03.588 - 00:01:31 - 异种呢
2022-01-25 20:01:03.589 - 00:01:31 - ass级
2022-01-25 20:01:05.587 - 00:01:33 - ？
2022-01-25 20:01:07.634 - 00:01:35 - ？
2022-01-25 20:01:09.641 - 00:01:37 - a级解了s就解了
2022-01-25 20:01:11.679 - 00:01:39 - 救世啊
2022-01-25 20:01:12.708 - 00:01:40 - 鼠鼠饶命
2022-01-25 20:01:15.205 - 00:01:42 - 笑了
2022-01-25 20:01:15.206 - 00:01:42 - 阿尔宙斯能开大车
2022-01-25 20:01:15.700 - 00:01:43 - 经典鮟鱇鱼皮
2022-01-25 20:01:16.701 - 00:01:44 - 别玩土游了，我怕
2022-01-25 20:01:17.710 - 00:01:45 - 鼠鼠我啊
2022-01-25 20:01:23.334 - 00:01:50 - 鼠鼠我怕
2022-01-25 20:01:24.839 - 00:01:52 - 肯尼！
2022-01-25 20:01:25.323 - 00:01:52 - 鼠鼠我啊
2022-01-25 20:01:25.846 - 00:01:53 - ？
2022-01-25 20:01:27.394 - 00:01:55 - 和肯尼一起鼠鼠吗
2022-01-25 20:01:29.905 - 00:01:57 - 阿爾宙斯可以璱沙奈朵
2022-01-25 20:01:32.462 - 00:02:00 - ？
2022-01-25 20:01:32.937 - 00:02:00 - 不准想
2022-01-25 20:01:33.951 - 00:02:01 - ？
2022-01-25 20:01:33.952 - 00:02:01 - 奎恩哥 我的快乐之狗
2022-01-25 20:01:36.483 - 00:02:04 - 土狗
2022-01-25 20:01:36.978 - 00:02:04 - 凯子是吧
2022-01-25 20:01:37.483 - 00:02:05 - ?
2022-01-25 20:01:37.483 - 00:02:05 - ？
2022-01-25 20:01:37.484 - 00:02:05 - 鼠鼠我啊，是真的要救世了
2022-01-25 20:01:39.023 - 00:02:06 - 来嘛肯尼
2022-01-25 20:01:40.016 - 00:02:07 - 土狗
2022-01-25 20:01:41.590 - 00:02:09 - ？
2022-01-25 20:01:42.075 - 00:02:09 - 肯尼来呢
2022-01-25 20:01:43.094 - 00:02:10 - 能开大车
2022-01-25 20:01:44.109 - 00:02:11 - 家乡话真好听啊
2022-01-25 20:01:44.109 - 00:02:11 - 呵呵
2022-01-25 20:01:44.110 - 00:02:11 - 你送啊 骗肯尼买真的不是人
2022-01-25 20:01:44.579 - 00:02:12 - 来嘛肯尼
2022-01-25 20:01:44.579 - 00:02:12 - 不准
2022-01-25 20:01:45.113 - 00:02:12 - 真实凯子
