弹幕姬版本: 0.3.6
直播来源地址: https://cc.163.com/361433/
开始记录时间: 2022-01-27 20:53:47.231
视频地址: https://www.bilibili.com/video/BV1oa411m7Zp
CID: [494339822, 494359293, 494375668, 494393235, 494410068]
时轴修正: [[3601, -7783], [3611, 10], [3611, 10], [3611, 10], [2430, 10]]

==================================================
2022-01-27 20:53:50.103 - 00:00:02 - 来嘛
2022-01-27 20:53:53.557 - 00:00:06 - 开门啊缺哥
2022-01-27 20:53:56.103 - 00:00:08 - wei
2022-01-27 20:53:57.594 - 00:00:10 - 来嘛
2022-01-27 20:53:58.103 - 00:00:10 - 有兔皮吗
2022-01-27 20:54:00.615 - 00:00:13 - 狗狗你来啦
2022-01-27 20:54:00.616 - 00:00:13 - 我逆呢
2022-01-27 20:54:05.663 - 00:00:18 - 草
2022-01-27 20:54:07.141 - 00:00:19 - 来嘛
2022-01-27 20:54:08.679 - 00:00:21 - 我逆呢
2022-01-27 20:54:09.173 - 00:00:21 - ?
2022-01-27 20:54:09.174 - 00:00:21 - 来啦
2022-01-27 20:54:09.685 - 00:00:22 - 草这皮
2022-01-27 20:54:10.188 - 00:00:22 - 好弱智的狗
2022-01-27 20:54:10.700 - 00:00:23 - 在吗
2022-01-27 20:54:11.184 - 00:00:23 - ？
2022-01-27 20:54:11.846 - 00:00:24 - 我超 狗！
2022-01-27 20:54:12.203 - 00:00:24 - 我狗呢
2022-01-27 20:54:12.203 - 00:00:24 - 我超 皮卡狗
2022-01-27 20:54:12.716 - 00:00:25 - ？？？
2022-01-27 20:54:12.717 - 00:00:25 - ？？
2022-01-27 20:54:12.717 - 00:00:25 - 草
2022-01-27 20:54:14.229 - 00:00:26 - 草，这什么形象
2022-01-27 20:54:14.230 - 00:00:26 - 皮卡狗
2022-01-27 20:54:14.722 - 00:00:27 - 这皮，好怪啊
2022-01-27 20:54:15.242 - 00:00:28 - ？？？
2022-01-27 20:54:15.243 - 00:00:28 - ？
2022-01-27 20:54:15.243 - 00:00:28 - 感觉不如异种。。。直播
2022-01-27 20:54:15.244 - 00:00:28 - 怪狗
2022-01-27 20:54:15.752 - 00:00:28 - 电气狗狗是吧
2022-01-27 20:54:16.278 - 00:00:29 - 上一次打开ps5是什么时候
2022-01-27 20:54:16.279 - 00:00:29 - zaima
2022-01-27 20:54:16.766 - 00:00:29 - feigou
2022-01-27 20:54:17.358 - 00:00:30 - 开局必肥
2022-01-27 20:54:17.840 - 00:00:30 - 我异呢
2022-01-27 20:54:18.293 - 00:00:31 - ?
2022-01-27 20:54:18.294 - 00:00:31 - 草，什么怪皮
2022-01-27 20:54:18.294 - 00:00:31 - 宋逆还在吗
2022-01-27 20:54:18.804 - 00:00:31 - 这狗越来越肥了
2022-01-27 20:54:18.804 - 00:00:31 - 哈喽~
2022-01-27 20:54:19.330 - 00:00:32 - 老公来惹
2022-01-27 20:54:19.806 - 00:00:32 - 哈喽
2022-01-27 20:54:20.332 - 00:00:33 - 可乐
2022-01-27 20:54:20.333 - 00:00:33 - 这个新皮有点可爱
2022-01-27 20:54:20.333 - 00:00:33 - 还开可乐呢
2022-01-27 20:54:21.826 - 00:00:34 - 肥啊
2022-01-27 20:54:22.342 - 00:00:35 - 开幕可乐
2022-01-27 20:54:23.346 - 00:00:36 - 開頭就是可樂!
2022-01-27 20:54:23.347 - 00:00:36 - 哈喽
2022-01-27 20:54:23.846 - 00:00:36 - 怎么上来就开罐的
2022-01-27 20:54:24.843 - 00:00:37 - 开幕可乐
2022-01-27 20:54:25.388 - 00:00:38 - 越来越肥
2022-01-27 20:54:25.388 - 00:00:38 - 皮卡皮卡
2022-01-27 20:54:25.858 - 00:00:38 - hallo~
2022-01-27 20:54:25.858 - 00:00:38 - 卧槽 缺
2022-01-27 20:54:25.859 - 00:00:38 - 哈咯~
2022-01-27 20:54:26.368 - 00:00:39 - 好怪的狗
2022-01-27 20:54:26.369 - 00:00:39 - 皮卡狗？
2022-01-27 20:54:26.370 - 00:00:39 - 开头肥！
2022-01-27 20:54:27.375 - 00:00:40 - ?
2022-01-27 20:54:27.888 - 00:00:40 - 狗来了！
2022-01-27 20:54:27.889 - 00:00:40 - 又可乐
2022-01-27 20:54:28.364 - 00:00:41 - 你必肥
2022-01-27 20:54:28.863 - 00:00:41 - 好肥的狗
2022-01-27 20:54:32.907 - 00:00:45 - 怎么是ps5啊，不是阿尔宙斯吗
2022-01-27 20:54:32.908 - 00:00:45 - 刚上来就刚开播
2022-01-27 20:54:33.911 - 00:00:46 - ????
2022-01-27 20:54:34.414 - 00:00:47 - ？
2022-01-27 20:54:35.466 - 00:00:48 - 甚至还有挤脸特效
2022-01-27 20:54:35.467 - 00:00:48 - 怪狗
2022-01-27 20:54:35.953 - 00:00:48 - 好肥的狗
2022-01-27 20:54:37.986 - 00:00:50 - 开幕噗叽啪
2022-01-27 20:54:38.481 - 00:00:51 - 你必肥
2022-01-27 20:54:41.527 - 00:00:54 - ？
2022-01-27 20:54:41.528 - 00:00:54 - 开幕喝的什么
2022-01-27 20:54:42.548 - 00:00:55 - 机皇无敌
2022-01-27 20:54:43.061 - 00:00:55 - 好立体灵动的狗皮
2022-01-27 20:54:43.062 - 00:00:55 - 真就神海4
2022-01-27 20:54:43.062 - 00:00:55 - 狗怎么减肥这么快
2022-01-27 20:54:43.528 - 00:00:56 - 开播时间乱起来惹
2022-01-27 20:54:43.528 - 00:00:56 - ？
2022-01-27 20:54:44.043 - 00:00:56 - 摸鱼摸鱼
2022-01-27 20:54:44.587 - 00:00:57 - 懒狗
2022-01-27 20:54:45.065 - 00:00:57 - 这皮套草
2022-01-27 20:54:48.602 - 00:01:01 - 这什么怪皮
2022-01-27 20:54:50.102 - 00:01:02 - 这么晚才来
2022-01-27 20:54:50.103 - 00:01:02 - 上当了
2022-01-27 20:54:56.653 - 00:01:09 - 逊啊
2022-01-27 20:54:57.149 - 00:01:09 - 因为韦天也在玩神海4...
2022-01-27 20:54:58.187 - 00:01:10 - 狗很肥 孩子很喜欢
2022-01-27 20:54:59.194 - 00:01:11 - 这皮太乖了
2022-01-27 20:54:59.195 - 00:01:11 - 机皇的技术又有进步了
2022-01-27 20:55:00.229 - 00:01:12 - 今天用了这个皮肤，证明马上要内个了吗
2022-01-27 20:55:04.721 - 00:01:17 - 摸鱼摸鱼
2022-01-27 20:55:04.722 - 00:01:17 - 这个皮的嘴怎么不会动啊
2022-01-27 20:55:05.234 - 00:01:18 - 盗贼末路合辑吧大概
2022-01-27 20:55:05.740 - 00:01:18 - 这个皮细致啊
2022-01-27 20:55:06.268 - 00:01:19 - 该异了
2022-01-27 20:55:07.285 - 00:01:20 - 狗！
2022-01-27 20:55:09.267 - 00:01:22 - 老三代翻炒了好几遍了
2022-01-27 20:55:09.788 - 00:01:22 - 索索不会那么良心的
2022-01-27 20:55:14.854 - 00:01:27 - 皮卡狗
2022-01-27 20:55:14.855 - 00:01:27 - ？
2022-01-27 20:55:16.921 - 00:01:29 - 好
2022-01-27 20:55:16.921 - 00:01:29 - 色狗
2022-01-27 20:55:17.922 - 00:01:30 - ？
2022-01-27 20:55:18.420 - 00:01:31 - QGN:9.9
2022-01-27 20:55:19.423 - 00:01:32 - 阿尔宙斯出了吗？
2022-01-27 20:55:20.425 - 00:01:33 - ？
2022-01-27 20:55:21.459 - 00:01:34 - 色狗
2022-01-27 20:55:21.460 - 00:01:34 - 玩铝人是吧
2022-01-27 20:55:21.943 - 00:01:34 - 且玩且珍惜吧 说不定啊 下一代德雷克就被谁用啥东西敲爆头了
