弹幕姬版本: 0.3.6
直播来源地址: https://cc.163.com/361433/
开始记录时间: 2022-03-08 20:12:20.310
视频地址: https://www.bilibili.com/video/BV1o34y1b7XD
CID: [545257194, 545301659, 545290593, 545280125, 545268980]
时轴修正: [[3601, 6], [3611, 10], [3611, 10], [3611, 10], [3908, 10]]

==================================================
2022-03-08 20:12:23.622 - 00:00:03 - wei
2022-03-08 20:12:24.656 - 00:00:04 - 好快の狗
2022-03-08 20:12:29.194 - 00:00:08 - wei
2022-03-08 20:12:31.209 - 00:00:10 - 刚来就来了
2022-03-08 20:12:31.678 - 00:00:11 - 十字刀回旋 立即观
2022-03-08 20:12:31.679 - 00:00:11 - 狗
2022-03-08 20:12:32.188 - 00:00:11 - wei
2022-03-08 20:12:32.721 - 00:00:12 - 爹！
2022-03-08 20:12:32.721 - 00:00:12 - 还行
2022-03-08 20:12:32.722 - 00:00:12 - 勃了！
2022-03-08 20:12:33.214 - 00:00:12 - 好快的狗
2022-03-08 20:12:33.689 - 00:00:13 - wei
2022-03-08 20:12:33.690 - 00:00:13 - 来了！
2022-03-08 20:12:33.692 - 00:00:13 - 好耶
2022-03-08 20:12:33.693 - 00:00:13 - 我超
2022-03-08 20:12:34.206 - 00:00:13 - ！
2022-03-08 20:12:34.206 - 00:00:13 - 奎恩叔叔勃起了
2022-03-08 20:12:34.207 - 00:00:13 - 惊了！
2022-03-08 20:12:34.207 - 00:00:13 - 不打王城火车支线做不了
2022-03-08 20:12:34.696 - 00:00:14 - 该杀戮啦
2022-03-08 20:12:34.696 - 00:00:14 - 冲锋
2022-03-08 20:12:34.697 - 00:00:14 - 杀杀杀
2022-03-08 20:12:35.253 - 00:00:14 - wei
2022-03-08 20:12:35.254 - 00:00:14 - 杀戮时刻
2022-03-08 20:12:35.254 - 00:00:14 - 80小时难绷
2022-03-08 20:12:35.753 - 00:00:15 - 食鸡
2022-03-08 20:12:36.753 - 00:00:16 - 来了！
2022-03-08 20:12:36.755 - 00:00:16 - WEI
2022-03-08 20:12:37.717 - 00:00:17 - 转！
2022-03-08 20:12:37.718 - 00:00:17 - 今天，狗骑狗有露脸的机会吗
2022-03-08 20:12:38.236 - 00:00:17 - 0
2022-03-08 20:12:38.236 - 00:00:17 - 食鸡已到
2022-03-08 20:12:39.762 - 00:00:19 - 就回来
2022-03-08 20:12:39.762 - 00:00:19 - 回旋开场
2022-03-08 20:12:40.743 - 00:00:20 - 食鸡已到
2022-03-08 20:12:40.744 - 00:00:20 - 杀戮
2022-03-08 20:12:41.754 - 00:00:21 - 好 杀戮之夜
2022-03-08 20:12:42.253 - 00:00:21 - 狗狗你来啦
2022-03-08 20:12:42.254 - 00:00:21 - 石矶已到
2022-03-08 20:12:43.281 - 00:00:22 - 狗来！
2022-03-08 20:12:43.282 - 00:00:22 - 该通关了 狗狗
2022-03-08 20:12:46.277 - 00:00:25 - 杀杀杀
2022-03-08 20:12:47.287 - 00:00:26 - 好准的狗
2022-03-08 20:12:47.288 - 00:00:26 - wei
2022-03-08 20:12:50.803 - 00:00:30 - Wei Zaima
2022-03-08 20:12:51.333 - 00:00:31 - 野蛮人
2022-03-08 20:12:52.338 - 00:00:32 - 高叉，hso
2022-03-08 20:12:52.833 - 00:00:32 - 刷到天昏地暗啊
2022-03-08 20:12:53.323 - 00:00:33 - ？
2022-03-08 20:12:54.321 - 00:00:34 - 菜的
2022-03-08 20:12:55.330 - 00:00:35 - 4
2022-03-08 20:12:55.857 - 00:00:35 - 5
2022-03-08 20:12:56.858 - 00:00:36 - 开局浩克
2022-03-08 20:12:57.362 - 00:00:37 - 开门了，我下班了，你上班了
2022-03-08 20:12:57.881 - 00:00:37 - 环！！！
2022-03-08 20:12:59.882 - 00:00:39 - 奎恩哥，今天想看狗骑狗
2022-03-08 20:13:00.877 - 00:00:40 - 石姬已到
2022-03-08 20:13:04.932 - 00:00:44 - 哪来的壶熊
2022-03-08 20:13:06.936 - 00:00:46 - 野人浩克
2022-03-08 20:13:11.459 - 00:00:51 - 昨天我们攻略了古龙顶
2022-03-08 20:13:13.491 - 00:00:53 - 还有灵魂激流没拿
2022-03-08 20:13:15.045 - 00:00:54 - 好呀
2022-03-08 20:13:17.540 - 00:00:57 - 你该去雪山了
2022-03-08 20:13:19.064 - 00:00:58 - 今晚已经击倒大树了
2022-03-08 20:13:19.065 - 00:00:58 - 好播
2022-03-08 20:13:34.653 - 00:01:14 - g
2022-03-08 20:13:36.683 - 00:01:16 - 叫你去救人
2022-03-08 20:13:37.195 - 00:01:16 - 王城王城
2022-03-08 20:13:39.185 - 00:01:18 - 让你找另一个
2022-03-08 20:13:39.671 - 00:01:19 - 那来的熊
2022-03-08 20:13:40.698 - 00:01:20 - 让你找一个秘密
2022-03-08 20:13:48.224 - 00:01:27 - 呜呜  徒弟 徒弟啊
2022-03-08 20:13:48.225 - 00:01:27 - 惊了！
2022-03-08 20:13:48.226 - 00:01:27 - 不是要让你去救人
2022-03-08 20:13:48.779 - 00:01:28 - 去红土地结晶人那里
2022-03-08 20:13:57.339 - 00:01:37 - 黄金回旋
2022-03-08 20:14:02.864 - 00:01:42 - 你可以告诉他
2022-03-08 20:14:08.376 - 00:01:48 - 有宝贝给
2022-03-08 20:14:08.377 - 00:01:48 - ？
2022-03-08 20:14:08.880 - 00:01:48 - 找另一个起源老师
2022-03-08 20:14:09.400 - 00:01:49 - 什么杰洛
