弹幕姬版本: 0.4.0
直播来源地址: https://cc.163.com/361433/
开始记录时间: 2022-04-16 19:33:27.868
视频地址: https://www.bilibili.com/video/BV1VY4y1v7Sd
CID: [578171785, 578264112, 578251112, 578236910, 578223448]
时轴修正: [[3001, -17], [3011, 10], [3011, 10], [3011, 10], [2961, 10]]

==================================================
2022-04-16 19:33:38.954 - 00:00:11 - wei
2022-04-16 19:33:40.487 - 00:00:12 - wei，zaima
2022-04-16 19:33:48.196 - 00:00:20 - 我在我在
2022-04-16 19:33:49.162 - 00:00:21 - wei
2022-04-16 19:33:52.186 - 00:00:24 - buzai
2022-04-16 19:33:53.675 - 00:00:25 - 我在我在
2022-04-16 19:33:55.216 - 00:00:27 - wei
2022-04-16 19:33:56.215 - 00:00:28 - 来哩
2022-04-16 19:33:57.216 - 00:00:29 - 舍友好
2022-04-16 19:33:57.217 - 00:00:29 - wei，zaima
2022-04-16 19:33:57.728 - 00:00:29 - ？
2022-04-16 19:33:57.729 - 00:00:29 - wei
2022-04-16 19:33:57.730 - 00:00:29 - zaima
2022-04-16 19:33:58.248 - 00:00:30 - buzai
2022-04-16 19:33:59.238 - 00:00:31 - 二次元guna
2022-04-16 19:34:00.269 - 00:00:32 - 老公
2022-04-16 19:34:00.788 - 00:00:32 - WEI
2022-04-16 19:34:00.789 - 00:00:32 - ？
2022-04-16 19:34:00.790 - 00:00:32 - buzai guna cmn
2022-04-16 19:34:01.295 - 00:00:33 - buzai，mua
2022-04-16 19:34:01.787 - 00:00:33 - wei
2022-04-16 19:34:02.318 - 00:00:34 - 我在我在
2022-04-16 19:34:02.319 - 00:00:34 - 来了！
2022-04-16 19:34:02.321 - 00:00:34 - 老公在吗
2022-04-16 19:34:02.810 - 00:00:34 - 二刺螈
2022-04-16 19:34:03.316 - 00:00:35 - buzai
2022-04-16 19:34:03.833 - 00:00:35 - wei
2022-04-16 19:34:03.835 - 00:00:35 - ？
2022-04-16 19:34:04.306 - 00:00:36 - 性徒
2022-04-16 19:34:06.342 - 00:00:38 - 狗呢狗呢狗币
2022-04-16 19:34:07.367 - 00:00:39 - 来了来了！
2022-04-16 19:34:07.884 - 00:00:40 - ?
2022-04-16 19:34:08.372 - 00:00:40 - 好快！
2022-04-16 19:34:09.400 - 00:00:41 - WEI
2022-04-16 19:34:09.401 - 00:00:41 - 几点开始完美的一天？
2022-04-16 19:34:09.872 - 00:00:42 - 这什么狗
2022-04-16 19:34:09.873 - 00:00:42 - 二次元来了
2022-04-16 19:34:10.885 - 00:00:43 - 喂 室友在吗
2022-04-16 19:34:11.440 - 00:00:43 - wei,zaima
2022-04-16 19:34:12.941 - 00:00:45 - zaima
2022-04-16 19:34:13.431 - 00:00:45 - ？
2022-04-16 19:34:14.454 - 00:00:46 - ?
2022-04-16 19:34:14.455 - 00:00:46 - 舍友们好
2022-04-16 19:34:14.455 - 00:00:46 - 我在我在
2022-04-16 19:34:15.456 - 00:00:47 - ？？好摸
2022-04-16 19:34:15.457 - 00:00:47 - 不准摸
2022-04-16 19:34:15.458 - 00:00:47 - MOMO模拟器
2022-04-16 19:34:15.458 - 00:00:47 - ？
2022-04-16 19:34:17.992 - 00:00:50 - uu加速器呢
2022-04-16 19:34:17.993 - 00:00:50 - 来点二次元
2022-04-16 19:34:20.679 - 00:00:52 - 摸摸模拟器
2022-04-16 19:34:21.557 - 00:00:53 - 好混沌的桌面
2022-04-16 19:34:21.561 - 00:00:53 - 哦
2022-04-16 19:34:23.550 - 00:00:55 - 摸摸模拟器
2022-04-16 19:34:24.083 - 00:00:56 - 不准摸
2022-04-16 19:34:24.084 - 00:00:56 - 深空之眼
2022-04-16 19:34:24.085 - 00:00:56 - 二次元 不看的
2022-04-16 19:34:25.076 - 00:00:57 - 摸摸摸你器
2022-04-16 19:34:25.080 - 00:00:57 - 二次元不请自来
2022-04-16 19:34:25.583 - 00:00:57 - ？
2022-04-16 19:34:25.587 - 00:00:57 - 就是
2022-04-16 19:34:26.611 - 00:00:58 - zaima
2022-04-16 19:34:27.158 - 00:00:59 - 哦
2022-04-16 19:34:27.617 - 00:00:59 - 今天是二次元之夜
2022-04-16 19:34:28.164 - 00:01:00 - ？
2022-04-16 19:34:29.179 - 00:01:01 - 真不熟
2022-04-16 19:34:29.671 - 00:01:01 - 9494
2022-04-16 19:34:29.672 - 00:01:01 - 该哈利波特了
2022-04-16 19:34:29.673 - 00:01:01 - ？
2022-04-16 19:34:30.194 - 00:01:02 - 就是
2022-04-16 19:34:30.196 - 00:01:02 - 爽哥谁啊
2022-04-16 19:34:30.197 - 00:01:02 - 有人在这个频道吗
2022-04-16 19:34:30.663 - 00:01:02 - 今天什么二次元
2022-04-16 19:34:30.669 - 00:01:02 - 哦
2022-04-16 19:34:31.167 - 00:01:03 - ？
2022-04-16 19:34:32.192 - 00:01:04 - 你最好是
2022-04-16 19:34:32.687 - 00:01:04 - 真不熟
2022-04-16 19:34:32.688 - 00:01:04 - 哦
2022-04-16 19:34:33.200 - 00:01:05 - 真不熟！
2022-04-16 19:34:33.203 - 00:01:05 - 啊？
2022-04-16 19:34:33.204 - 00:01:05 - ??
2022-04-16 19:34:33.691 - 00:01:05 - 两男一杯
2022-04-16 19:34:33.691 - 00:01:05 - ？
2022-04-16 19:34:35.284 - 00:01:07 - 你最好是
2022-04-16 19:34:37.237 - 00:01:09 - 怎么没有碧蓝航线
2022-04-16 19:34:37.767 - 00:01:09 - 哦
