弹幕姬版本: 0.4.1
直播来源地址: https://cc.163.com/361433/
开始记录时间: 2022-06-02 20:10:27.491
视频地址: https://www.bilibili.com/video/BV16Y4y1x7pq
CID: [737006954, 737088594, 737076851, 737064261, 737055832]
时轴修正: [[3601, -451], [3611, 10], [3611, 10], [3611, 10], [2507, 10]]

==================================================
2022-06-02 20:10:36.242 - 00:00:08 - 㪍了，每个人都有罪。
2022-06-02 20:10:38.233 - 00:00:10 - wei zaima
2022-06-02 20:10:39.249 - 00:00:11 - 我狗呢
2022-06-02 20:10:39.753 - 00:00:12 - 我爱国无罪
2022-06-02 20:10:39.754 - 00:00:12 - 㪍了，每个人都有罪。
2022-06-02 20:10:41.803 - 00:00:14 - 㪍了，每个人都有罪。
2022-06-02 20:10:41.804 - 00:00:14 - wei？
2022-06-02 20:10:42.819 - 00:00:15 - 伟天呢
2022-06-02 20:10:42.820 - 00:00:15 - suaxin
2022-06-02 20:10:42.821 - 00:00:15 - 㪍了，每个人都有罪。
2022-06-02 20:10:43.867 - 00:00:16 - 开勃了？
2022-06-02 20:10:45.355 - 00:00:17 - 我无罪！！！
2022-06-02 20:10:45.356 - 00:00:17 - 㪍了，每个人都有罪。
2022-06-02 20:10:46.369 - 00:00:18 - wei
2022-06-02 20:10:46.864 - 00:00:19 - 开门
2022-06-02 20:10:47.404 - 00:00:19 - 好快的播
2022-06-02 20:10:49.913 - 00:00:22 - 开门啊，快开门啊
2022-06-02 20:10:50.440 - 00:00:22 - 我有罪
2022-06-02 20:10:51.442 - 00:00:23 - 㪍了，每个人都有罪。
2022-06-02 20:10:53.497 - 00:00:26 - 我狗狗呢
2022-06-02 20:10:53.498 - 00:00:26 - 我无罪！
2022-06-02 20:10:54.497 - 00:00:27 - 我狗呢
2022-06-02 20:10:55.011 - 00:00:27 - 不是随叫随到叫啊
2022-06-02 20:10:55.523 - 00:00:28 - 我可以扮演爽哥不说话
2022-06-02 20:10:56.031 - 00:00:28 - 勃了？
2022-06-02 20:10:56.529 - 00:00:29 - 我无罪！
2022-06-02 20:10:59.105 - 00:00:31 - 我罪业之都呢
2022-06-02 20:11:04.211 - 00:00:36 - ？
2022-06-02 20:11:04.212 - 00:00:36 - 狗狗你来啦
2022-06-02 20:11:07.689 - 00:00:40 - ？
2022-06-02 20:11:07.690 - 00:00:40 - wei zaima
2022-06-02 20:11:10.733 - 00:00:43 - 无爽，悲
2022-06-02 20:11:11.225 - 00:00:43 - ？
2022-06-02 20:11:11.739 - 00:00:44 - 爽哥我的爽哥
2022-06-02 20:11:12.272 - 00:00:44 - 晚安
2022-06-02 20:11:12.274 - 00:00:44 - diannaobaozhale
2022-06-02 20:11:12.773 - 00:00:45 - 开幕雷击
2022-06-02 20:11:12.774 - 00:00:45 - 草
2022-06-02 20:11:15.305 - 00:00:47 - dainnaobaozhale
2022-06-02 20:11:15.787 - 00:00:48 - 沉默就是最好的模范
2022-06-02 20:11:16.303 - 00:00:48 - 有兔皮吗
2022-06-02 20:11:16.857 - 00:00:49 - ？
2022-06-02 20:11:18.825 - 00:00:51 - 爽哥模仿大赛：一个晚上不说话
2022-06-02 20:11:19.410 - 00:00:51 - 不说话不就行了？
2022-06-02 20:11:23.883 - 00:00:56 - 我在潜行，不方便说话
2022-06-02 20:11:25.941 - 00:00:58 - 草，开船用秦天柱的皮
2022-06-02 20:11:28.956 - 00:01:01 - 爽哥在爽哥模仿大赛中获得第2名
2022-06-02 20:11:29.980 - 00:01:02 - 全员哑巴
2022-06-02 20:11:32.509 - 00:01:05 - 我是爽哥，我是爽哥
2022-06-02 20:11:33.045 - 00:01:05 - 爽哥已经不是聋哑人了
2022-06-02 20:11:38.591 - 00:01:11 - 全体变身爽哥啊
2022-06-02 20:11:40.123 - 00:01:12 - ?
2022-06-02 20:11:40.661 - 00:01:13 - 全员哑巴是吧
2022-06-02 20:11:41.657 - 00:01:14 - 并列第一
2022-06-02 20:11:42.197 - 00:01:14 - 大家都在努力模仿呢
2022-06-02 20:11:42.197 - 00:01:14 - 痛殴老人
2022-06-02 20:11:44.187 - 00:01:16 - 别让老人当厨子啊
2022-06-02 20:11:44.678 - 00:01:17 - 耳鸣星去把爽哥抓来呢
2022-06-02 20:11:47.266 - 00:01:19 - 今日有鸭吗
2022-06-02 20:11:49.816 - 00:01:22 - 有人在这个频道吗
2022-06-02 20:11:55.906 - 00:01:28 - 好嘲讽
2022-06-02 20:11:56.409 - 00:01:28 - 沉默
2022-06-02 20:11:56.410 - 00:01:28 - 都是爽哥是吧
2022-06-02 20:11:57.947 - 00:01:30 - chu男为什么还能是敏感词。。。
2022-06-02 20:11:57.947 - 00:01:30 - 模仿爽哥=孤立耳鸣星
2022-06-02 20:11:58.498 - 00:01:31 - 小舌头寄了
2022-06-02 20:11:58.956 - 00:01:31 - 老吴呢
2022-06-02 20:12:02.506 - 00:01:35 - 三三老师呢
2022-06-02 20:12:02.507 - 00:01:35 - 我在潜行 不方便说话
2022-06-02 20:12:03.500 - 00:01:36 - 直播是不是小舌头又寄了啊？
2022-06-02 20:12:04.030 - 00:01:36 - 今晚三三老师会是鬼吗
2022-06-02 20:12:15.187 - 00:01:47 - 爽哥帮我问问耳鸣星什么时候播
2022-06-02 20:12:16.191 - 00:01:48 - yichudaxi
2022-06-02 20:12:22.767 - 00:01:55 - 已经结束咧
2022-06-02 20:12:24.439 - 00:01:56 - 提督呢
2022-06-02 20:12:27.834 - 00:02:00 - ?
2022-06-02 20:12:29.379 - 00:02:01 - 鸭子呢
2022-06-02 20:12:30.887 - 00:02:03 - 我啊
2022-06-02 20:12:34.903 - 00:02:07 - 见面先给nm一拳
2022-06-02 20:12:38.448 - 00:02:10 - 我啊
2022-06-02 20:12:39.972 - 00:02:12 - 玩派硬气是吧
2022-06-02 20:12:44.021 - 00:02:16 - 今天有老鸭吗
2022-06-02 20:12:47.617 - 00:02:20 - 刚切到吴叔叔直播间看到它在玩电焊
2022-06-02 20:12:47.618 - 00:02:20 - 老人会做饭吗
2022-06-02 20:12:48.129 - 00:02:20 - 三三老师呢
2022-06-02 20:12:48.130 - 00:02:20 - 大嘘
2022-06-02 20:12:48.643 - 00:02:21 - apex的含金量懂不懂啊
2022-06-02 20:12:49.623 - 00:02:22 - ？
2022-06-02 20:12:50.112 - 00:02:22 - 笑了
2022-06-02 20:12:51.185 - 00:02:23 - 没有老鸭少点味道
2022-06-02 20:12:52.665 - 00:02:25 - ! 船
2022-06-02 20:12:54.707 - 00:02:27 - 我吴叔叔呢
2022-06-02 20:12:55.214 - 00:02:27 - 好！
2022-06-02 20:12:55.215 - 00:02:27 - 黄帝做饭
2022-06-02 20:12:56.770 - 00:02:29 - 老人做饭，那你们死了啊
2022-06-02 20:12:58.273 - 00:02:30 - 老鸭今晚在吗
2022-06-02 20:12:58.785 - 00:02:31 - 我老鸭呢
2022-06-02 20:13:00.461 - 00:02:32 - 笑了
2022-06-02 20:13:00.462 - 00:02:32 - 老人是厨子，那完了
2022-06-02 20:13:00.463 - 00:02:32 - 这么感觉这么卡阿
2022-06-02 20:13:02.305 - 00:02:34 - 人玩A的
2022-06-02 20:13:05.890 - 00:02:38 - 笑了
2022-06-02 20:13:06.452 - 00:02:38 - 死鸭
2022-06-02 20:13:07.483 - 00:02:39 - 吴赖啊
2022-06-02 20:13:09.921 - 00:02:42 - 死鸭
2022-06-02 20:13:12.513 - 00:02:45 - 死鸭子
2022-06-02 20:13:12.971 - 00:02:45 - 我老鸭呢
2022-06-02 20:13:13.978 - 00:02:46 - 无🦆不行
2022-06-02 20:13:20.079 - 00:02:52 - 死鸭
2022-06-02 20:13:20.080 - 00:02:52 - 我老吴呢
2022-06-02 20:13:20.080 - 00:02:52 - 爽哥呢
2022-06-02 20:13:22.124 - 00:02:54 - hhhh
2022-06-02 20:13:23.105 - 00:02:55 - 笑了
2022-06-02 20:13:23.630 - 00:02:56 - 我鸭呢？
2022-06-02 20:13:23.631 - 00:02:56 - 确实卡
2022-06-02 20:13:24.648 - 00:02:57 - 不说话就是在模仿爽哥
2022-06-02 20:13:25.644 - 00:02:58 - 阿尼亚你懂不懂啊
2022-06-02 20:13:26.187 - 00:02:58 - 怎么这么卡
2022-06-02 20:13:26.691 - 00:02:59 - ？
2022-06-02 20:13:28.185 - 00:03:00 - 饶了我吧
2022-06-02 20:13:28.670 - 00:03:01 - 啊？
2022-06-02 20:13:28.671 - 00:03:01 - \
2022-06-02 20:13:29.249 - 00:03:01 - 草
2022-06-02 20:13:29.691 - 00:03:02 - 拷打二次元
2022-06-02 20:13:30.692 - 00:03:03 - “阿尼亚”
2022-06-02 20:13:30.693 - 00:03:03 - 哦
2022-06-02 20:13:32.235 - 00:03:04 - 草
2022-06-02 20:13:34.271 - 00:03:06 - ？
2022-06-02 20:13:35.289 - 00:03:07 - 哎，对哦
2022-06-02 20:13:35.289 - 00:03:07 - 草
2022-06-02 20:13:35.290 - 00:03:07 - ？？？
2022-06-02 20:13:35.290 - 00:03:07 - 笑了
2022-06-02 20:13:35.779 - 00:03:08 - 对爽哥特攻
2022-06-02 20:13:36.295 - 00:03:08 - ？
2022-06-02 20:13:36.793 - 00:03:09 - 机皇该展现单防小秦的实力了！
2022-06-02 20:13:36.793 - 00:03:09 - 哈哈哈
2022-06-02 20:13:37.303 - 00:03:09 - 哦吼
2022-06-02 20:13:37.851 - 00:03:10 - ？？？？？？？？？
2022-06-02 20:13:37.852 - 00:03:10 - ？
2022-06-02 20:13:37.853 - 00:03:10 - 笑了
2022-06-02 20:13:37.853 - 00:03:10 - 草
2022-06-02 20:13:38.369 - 00:03:10 - wei
2022-06-02 20:13:38.828 - 00:03:11 - 哈哈哈哈
2022-06-02 20:13:39.333 - 00:03:11 - 但是有人感兴趣
2022-06-02 20:13:39.894 - 00:03:12 - 笑了
2022-06-02 20:13:39.895 - 00:03:12 - 不够大
2022-06-02 20:13:40.370 - 00:03:12 - 草
2022-06-02 20:13:40.890 - 00:03:13 - 整蛊啊
2022-06-02 20:13:41.390 - 00:03:13 - 粉色毛发？晓樱！
2022-06-02 20:13:41.910 - 00:03:14 - ?
2022-06-02 20:13:41.911 - 00:03:14 - 草
2022-06-02 20:13:41.912 - 00:03:14 - 谁不喜欢呢
2022-06-02 20:13:43.452 - 00:03:15 - 草
2022-06-02 20:13:43.453 - 00:03:15 - 直播是有点卡
2022-06-02 20:13:44.408 - 00:03:16 - 草
2022-06-02 20:13:44.943 - 00:03:17 - 爽哥脱敏疗法？
2022-06-02 20:13:45.434 - 00:03:17 - 草
2022-06-02 20:13:45.435 - 00:03:17 - cos爽哥
2022-06-02 20:13:45.972 - 00:03:18 - 粉毛，是哈曼！
2022-06-02 20:13:46.422 - 00:03:18 - 草
2022-06-02 20:13:47.975 - 00:03:20 - 谁喜欢扎古啊
2022-06-02 20:13:48.429 - 00:03:20 - 雀食
2022-06-02 20:13:49.466 - 00:03:21 - 小秦忘记拉低码率了
2022-06-02 20:13:50.983 - 00:03:23 - 东西
2022-06-02 20:13:51.502 - 00:03:24 - 说得好
