弹幕姬版本: 0.4.1
直播来源地址: https://cc.163.com/361433/
开始记录时间: 2022-07-30 21:05:28.597
视频地址: https://www.bilibili.com/video/BV1NS4y1b7qa
CID: [789466347, 789508098, 789495235, 789486925, 789486374]
时轴修正: [[3601, 15], [3611, 10], [3611, 10], [2324, 10], [23, 10]]

==================================================
2022-07-30 21:05:33.324 - 00:00:04 - 可爱滴捏
2022-07-30 21:05:34.313 - 00:00:05 - wei
2022-07-30 21:05:34.830 - 00:00:06 - ？！
2022-07-30 21:05:37.353 - 00:00:08 - zaima
2022-07-30 21:05:37.353 - 00:00:08 - mio
2022-07-30 21:05:37.354 - 00:00:08 - zaima?
2022-07-30 21:05:37.866 - 00:00:09 - 狗来
2022-07-30 21:05:38.863 - 00:00:10 - 狗狗你来啦
2022-07-30 21:05:39.350 - 00:00:10 - bole
2022-07-30 21:05:39.350 - 00:00:10 - ？
2022-07-30 21:05:39.850 - 00:00:11 - 断mio鬼
2022-07-30 21:05:40.374 - 00:00:11 - 火锅好恰吗
2022-07-30 21:05:40.374 - 00:00:11 - zaima
2022-07-30 21:05:40.875 - 00:00:12 - 开门！
2022-07-30 21:05:40.876 - 00:00:12 - wei
2022-07-30 21:05:40.876 - 00:00:12 - 你醒啦
2022-07-30 21:05:42.374 - 00:00:13 - 敬业啊
2022-07-30 21:05:42.882 - 00:00:14 - wei
2022-07-30 21:05:42.882 - 00:00:14 - 您终于来了？
2022-07-30 21:05:42.883 - 00:00:14 - 不再敬业了
2022-07-30 21:05:43.385 - 00:00:14 - 播！
2022-07-30 21:05:43.386 - 00:00:14 - 天哥刚刚愤怒的开了简单模式，看看小秦能坚持到什么时候
2022-07-30 21:05:43.387 - 00:00:14 - wei?
2022-07-30 21:05:44.390 - 00:00:15 - 裙子掉啦
2022-07-30 21:05:45.399 - 00:00:16 - zaima
2022-07-30 21:05:46.396 - 00:00:17 - ？
2022-07-30 21:05:49.411 - 00:00:20 - 贾诩呢
2022-07-30 21:05:49.909 - 00:00:21 - wei
2022-07-30 21:05:51.445 - 00:00:22 - 真宠粉
2022-07-30 21:05:51.446 - 00:00:22 - zaima
2022-07-30 21:05:51.937 - 00:00:23 - wei？
2022-07-30 21:05:51.938 - 00:00:23 - 还想着开门啊
2022-07-30 21:05:52.449 - 00:00:23 - ？
2022-07-30 21:05:53.461 - 00:00:24 - WEI
2022-07-30 21:05:58.021 - 00:00:29 - 肯尼都见尼娅
2022-07-30 21:05:59.015 - 00:00:30 - ？
2022-07-30 21:05:59.016 - 00:00:30 - 短mio鬼！
2022-07-30 21:06:01.560 - 00:00:32 - wei
