弹幕姬版本: 0.4.1
直播来源地址: https://cc.163.com/361433/
开始记录时间: 2022-10-21 20:06:39.964
视频地址: https://www.bilibili.com/video/BV1rg41187r1
CID: [868689834, 868671034, 868702187, 868702314, 868702421]
时轴修正: [[3001, -81], [3011, 10], [3011, 10], [3011, 10], [2932, 10]]

==================================================
2022-10-21 20:06:42.580 - 00:00:02 - wei
2022-10-21 20:06:44.631 - 00:00:04 - 喂
2022-10-21 20:06:47.707 - 00:00:07 - wei
2022-10-21 20:06:49.259 - 00:00:09 - 鼠😭
2022-10-21 20:06:55.804 - 00:00:15 - 说话 奎恩 说话
2022-10-21 20:06:55.804 - 00:00:15 - 我要看西欧弟我要看西欧弟我要看西欧弟
2022-10-21 20:06:56.806 - 00:00:16 - wei
2022-10-21 20:06:57.861 - 00:00:17 - 宝贝你来啦！宝贝你来啦！宝贝你来啦！宝贝你来啦！宝贝你来啦！宝贝你来啦！宝贝你来啦！
2022-10-21 20:06:58.824 - 00:00:18 - 米斯特奎恩说话！
2022-10-21 20:06:59.878 - 00:00:19 - wei
2022-10-21 20:07:00.884 - 00:00:20 - wodanmune
2022-10-21 20:07:02.928 - 00:00:22 - 说话
2022-10-21 20:07:05.973 - 00:00:26 - shuohua
2022-10-21 20:07:05.974 - 00:00:26 - 喂喂喂
2022-10-21 20:07:09.500 - 00:00:29 - X
2022-10-21 20:07:09.501 - 00:00:29 - mua
2022-10-21 20:07:11.507 - 00:00:31 - 好快的狗
2022-10-21 20:07:13.025 - 00:00:33 - wei，zaima
2022-10-21 20:07:14.032 - 00:00:34 - 登录
2022-10-21 20:07:16.065 - 00:00:36 - wei
2022-10-21 20:07:19.589 - 00:00:39 - 宝贝你来啦！宝贝你来啦！宝贝你来啦！宝贝你来啦！宝贝你来啦！
2022-10-21 20:07:21.117 - 00:00:41 - 输了
2022-10-21 20:07:21.118 - 00:00:41 - 丁叔叔的平台一拖四
2022-10-21 20:07:22.118 - 00:00:42 - 大概要22号结束吧
2022-10-21 20:07:23.122 - 00:00:43 - 笑了
2022-10-21 20:07:24.191 - 00:00:44 - 不说话，装高手
2022-10-21 20:07:25.182 - 00:00:45 - 22
2022-10-21 20:07:25.663 - 00:00:45 - ？
2022-10-21 20:07:25.664 - 00:00:45 - ？？
2022-10-21 20:07:26.691 - 00:00:46 - 草
2022-10-21 20:07:27.260 - 00:00:47 - ???
2022-10-21 20:07:27.261 - 00:00:47 - 几号?
2022-10-21 20:07:27.705 - 00:00:47 - 这狗再看哪里啊
2022-10-21 20:07:27.706 - 00:00:47 - ？？？
2022-10-21 20:07:27.707 - 00:00:47 - ?
2022-10-21 20:07:28.218 - 00:00:48 - 22
2022-10-21 20:07:28.219 - 00:00:48 - ？
2022-10-21 20:07:28.220 - 00:00:48 - 多少？
2022-10-21 20:07:28.221 - 00:00:48 - 几号？
2022-10-21 20:07:28.758 - 00:00:48 - ？？
2022-10-21 20:07:28.758 - 00:00:48 - 什么时候吃鸡
2022-10-21 20:07:29.220 - 00:00:49 - 那完了
2022-10-21 20:07:29.222 - 00:00:49 - 0号
2022-10-21 20:07:29.749 - 00:00:49 - 21
2022-10-21 20:07:30.224 - 00:00:50 - 22号结束呢
2022-10-21 20:07:30.225 - 00:00:50 - 最后一天了
2022-10-21 20:07:30.770 - 00:00:50 - ？
